sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
0.1,335,0.6,1,0.6,0.00548636617728427,0.00584941049792657
0.6,540,0.3,0.7,7.1,0.0159292394526865,0.0164149534820184
0.5,874,0.2,0.5,9.8,0.0219621202847002,0.0223830968012784
0.2,174,0.4,0.5,9.7,0.0133982731219811,0.013870201131871
1,961,0.6,0.4,4.1,0.00908214203150483,0.0095185444699623
0.5,691,0.3,1,4.1,0.0108461997943238,0.011286265648585
0.9,559,0.4,0.4,4.1,0.0155339880137436,0.015991390501514
0.9,700,0.9,0.9,4.1,0.00556337768250409,0.00585623967777269
0.6,68,0.6,0.4,2.2,0.00682700627178153,0.00724874697519369
0.2,40,0.4,0.9,10,0.0110864207069397,0.0115711462750362
0.6,949,0.2,0.8,3.6,0.0174453135288826,0.0179488905397047
0.9,368,0.1,0.2,3.6,0.0286663116744998,0.0288265220654658
0.2,557,0.4,0.1,9.1,0.0400514947405646,0.0393312299002561
0.4,66,0.6,0.7,1.8,0.0056830222919355,0.00606271961482542
0.4,322,0.5,0.7,8.5,0.00898092172421095,0.00944174322515418
0.5,9,1,0.9,5,0.00572054647858323,0.00584980780206075
0.6,333,0.6,0.9,7.7,0.0063260087986447,0.00673431668758355
0.7,242,0.2,0.5,3.8,0.0209495145694582,0.0214496251335277
0.9,957,0.4,0.7,8.3,0.0139873579809532,0.0144539611140767
0.6,546,0.7,0.1,3.6,0.0120978307954382,0.0123045703238914
0.1,381,0.4,0.6,4.3,0.0117471011934117,0.012257539693461
0.4,259,0.4,1,0.7,0.00617824081234782,0.00650779010552933
0.4,493,0.3,0.7,2.1,0.0110031045210823,0.0114503763625156
0.2,839,0.1,0.3,6.7,0.025752961602395,0.0260168082844962
0.4,802,0.7,0.5,8.2,0.00661516218891429,0.00703647572770928
0.8,74,0.5,0.8,0.7,0.00572374559803422,0.00606458164346625
1,399,0.1,0.6,4.8,0.0252774851413687,0.02579320553373
0.7,249,0.8,1,6.2,0.00534901914810732,0.00568049906759533
0.2,679,0.1,0.4,1.2,0.0229372595570363,0.0234871483208568
0.6,369,0.2,0.6,4.9,0.0201822379439458,0.020687974309842
0.9,307,0.5,0.2,8.9,0.0227940169424043,0.022804898182705
0.8,23,0.2,0.6,1.9,0.017196550501109,0.0176909588879258
0.5,719,0.6,0.5,5.1,0.00736312085761717,0.00780330143538471
0.7,927,0.9,0.1,5.4,0.00631280264138335,0.00660562581936556
